Borrower_ID,Crop_Type,Farm_Area_Acres,Irrigation_Type,Soil_Type,Season,Fertilizer_Used_Tons,Current_LTV_Ratio,Months_Since_Delinquency,Stress_Probability,Requires_Intervention
FARM-1265,Carrot,155.05,Sprinkler,Clay,Zaid,9.42,0.66,-1,0.3678061853436738,0
FARM-1266,Rice,619.12,Sprinkler,Loamy,Kharif,39.17,0.86,-1,0.6153193124576978,0
FARM-1267,Carrot,745.91,Sprinkler,Sandy,Zaid,43.39,0.59,33,0.42009696201961555,0
FARM-1268,Tomato,920.03,Drip,Sandy,Rabi,149.91,0.85,-1,0.6642513108236197,1
FARM-1269,Tomato,472.91,Flood,Sandy,Rabi,45.68,0.77,-1,0.47871853919499086,0
FARM-1270,Wheat,1057.72,Drip,Clay,Kharif,73.27,0.6,-1,0.39648577905977805,0
FARM-1271,Wheat,1297.18,Flood,Clay,Rabi,81.6,0.79,-1,0.5169524157933608,0
FARM-1272,Potato,1180.78,Flood,Silty,Zaid,113.05,0.73,37,0.5804601965321283,0
FARM-1273,Potato,107.45,Sprinkler,Sandy,Kharif,16.5,0.84,-1,0.5519634968367295,0
FARM-1274,Soybean,746.74,Manual,Silty,Kharif,21.77,0.71,-1,0.2567885447491802,0
FARM-1275,Soybean,202.15,Sprinkler,Silty,Kharif,4.41,0.77,-1,0.20944379541340513,0
FARM-1276,Wheat,400.97,Rain-fed,Silty,Zaid,26.71,0.41,-1,0.4271016571988494,0
FARM-1277,Rice,1480.66,Flood,Loamy,Zaid,98.64,0.83,-1,0.5439260354357712,0
FARM-1278,Carrot,256.62,Sprinkler,Loamy,Zaid,22.17,0.72,-1,0.3466130776926282,0
FARM-1279,Wheat,773.39,Drip,Silty,Zaid,65.2,0.79,-1,0.5538883787802836,0
FARM-1280,Potato,946.33,Drip,Loamy,Zaid,168.99,0.56,-1,0.44735539905300625,0
FARM-1281,Tomato,1068.57,Flood,Clay,Kharif,126.33,0.84,19,0.8066171751792331,1
FARM-1282,Tomato,861.49,Flood,Silty,Zaid,70.21,0.43,-1,0.28077404066746314,0
FARM-1283,Cotton,64.17,Drip,Silty,Zaid,12.5,0.63,25,0.6116350581514169,0
FARM-1284,Soybean,523.37,Drip,Loamy,Kharif,15.08,0.85,-1,0.3793453265551056,0
FARM-1285,Cotton,800.68,Drip,Clay,Kharif,135.6,0.82,22,0.7284594219725742,1
FARM-1286,Sugarcane,177.41,Manual,Loamy,Rabi,42.12,0.52,-1,0.68171378108818,1
FARM-1287,Soybean,558.41,Flood,Silty,Kharif,9.22,0.63,-1,0.29962828298615135,0
FARM-1288,Tomato,98.14,Flood,Silty,Zaid,7.03,0.75,-1,0.6143132179858202,0
FARM-1289,Soybean,163.94,Drip,Clay,Rabi,6.0,0.89,-1,0.40121837349242295,0
FARM-1290,Cotton,625.54,Sprinkler,Clay,Kharif,68.47,0.84,-1,0.7230912943374588,1
FARM-1291,Cotton,242.44,Drip,Silty,Zaid,23.23,0.78,-1,0.6672848331200272,1
FARM-1292,Wheat,872.93,Drip,Loamy,Kharif,47.08,0.69,-1,0.4426685005491996,0
FARM-1293,Tomato,1049.72,Flood,Sandy,Rabi,65.74,0.46,-1,0.38346989391966574,0
FARM-1294,Cotton,1210.85,Drip,Peaty,Zaid,216.05,0.42,-1,0.4966960639429678,0
FARM-1295,Soybean,340.22,Drip,Clay,Zaid,6.48,0.57,15,0.37245939603953926,0
FARM-1296,Carrot,292.85,Drip,Sandy,Zaid,17.0,0.62,-1,0.3870632595631211,0
FARM-1297,Barley,201.62,Drip,Clay,Zaid,20.07,0.59,-1,0.38042034220701226,0
FARM-1298,Rice,972.82,Drip,Loamy,Zaid,72.25,0.5,-1,0.3968102648156813,0
FARM-1299,Cotton,1074.39,Flood,Silty,Kharif,79.28,0.36,-1,0.407898242433758,0
FARM-1300,Cotton,95.8,Rain-fed,Loamy,Zaid,17.21,0.52,-1,0.4187418822609534,0
FARM-1301,Soybean,1407.51,Sprinkler,Peaty,Rabi,21.56,0.94,23,0.6465306907403612,0
FARM-1302,Soybean,125.36,Flood,Sandy,Kharif,4.75,0.78,-1,0.39595562372433823,0
FARM-1303,Rice,834.88,Drip,Loamy,Kharif,93.06,0.39,-1,0.31064146246811397,0
FARM-1304,Carrot,1078.14,Manual,Clay,Rabi,60.34,0.87,-1,0.5099988745220805,0
FARM-1305,Maize,1312.91,Flood,Loamy,Zaid,244.72,0.52,-1,0.40088126671033675,0
FARM-1306,Soybean,1085.43,Drip,Loamy,Kharif,31.81,0.45,30,0.5264378373153158,0
FARM-1307,Tomato,1212.51,Sprinkler,Clay,Kharif,129.38,0.26,25,0.43877646869625814,0
FARM-1308,Wheat,542.2,Drip,Loamy,Rabi,75.23,0.86,-1,0.34768270901186754,0
FARM-1309,Barley,1231.5,Flood,Loamy,Rabi,154.5,0.82,-1,0.6277094526258956,0
FARM-1310,Sugarcane,166.17,Flood,Silty,Zaid,22.22,0.7,-1,0.5248611497317126,0
FARM-1311,Cotton,1347.48,Rain-fed,Sandy,Rabi,210.35,0.85,-1,0.7243713353276131,1
FARM-1312,Cotton,844.01,Flood,Sandy,Zaid,168.61,0.52,-1,0.5001567487712649,0
FARM-1313,Maize,1235.08,Sprinkler,Clay,Rabi,325.04,0.64,3,1.0,1
FARM-1314,Wheat,705.86,Manual,Clay,Rabi,71.22,0.74,-1,0.5221261708605184,0
FARM-1315,Rice,983.19,Drip,Sandy,Zaid,74.94,0.75,-1,0.4787709448127926,0
FARM-1316,Sugarcane,813.28,Drip,Loamy,Kharif,101.33,0.61,-1,0.6791771469386874,1
FARM-1317,Barley,1110.8,Flood,Clay,Zaid,145.85,0.87,8,0.8468830537055083,1
FARM-1318,Barley,168.36,Flood,Silty,Zaid,9.74,0.57,-1,0.2840588352944909,0
FARM-1319,Barley,137.51,Flood,Silty,Kharif,13.36,0.89,22,0.740574753348808,1
FARM-1320,Soybean,408.3,Manual,Sandy,Kharif,9.59,0.84,-1,0.35459355671996773,0
FARM-1321,Carrot,281.34,Sprinkler,Clay,Rabi,13.15,0.81,-1,0.6160265308854935,0
FARM-1322,Rice,1314.09,Sprinkler,Silty,Kharif,95.14,0.35,28,0.3472806319546195,0
FARM-1323,Barley,367.86,Flood,Sandy,Kharif,49.62,0.55,26,0.46775975310956336,0
FARM-1324,Maize,1465.0,Rain-fed,Silty,Rabi,146.34,0.53,-1,0.48980796674262483,0
FARM-1325,Carrot,538.5,Manual,Silty,Rabi,34.85,0.61,-1,0.31414019643258256,0
FARM-1326,Soybean,314.07,Rain-fed,Silty,Zaid,5.49,0.73,12,0.4603213162821731,0
FARM-1327,Rice,1195.06,Drip,Sandy,Rabi,62.58,0.5,-1,0.47764488253662724,0
FARM-1328,Sugarcane,1005.13,Sprinkler,Clay,Zaid,151.1,0.48,-1,0.37884917004455476,0
FARM-1329,Barley,772.38,Drip,Sandy,Rabi,70.24,0.61,33,0.5750461988678819,0
FARM-1330,Tomato,855.28,Drip,Sandy,Zaid,77.88,0.55,-1,0.5428660121517732,0
FARM-1331,Carrot,1092.84,Drip,Silty,Zaid,53.54,0.72,-1,0.5457547522946574,0
FARM-1332,Cotton,381.26,Sprinkler,Clay,Zaid,31.33,0.23,-1,0.3763761528439935,0
FARM-1333,Cotton,1494.68,Sprinkler,Clay,Kharif,168.08,0.77,-1,0.4853306241925718,0
FARM-1334,Cotton,1463.45,Drip,Silty,Zaid,300.47,0.76,-1,0.5668241952640038,0
FARM-1335,Cotton,992.97,Flood,Silty,Zaid,200.84,0.64,-1,0.5954698529980813,0
FARM-1336,Wheat,339.34,Flood,Silty,Kharif,28.33,0.77,-1,0.5164729938500138,0
FARM-1337,Carrot,1036.33,Flood,Silty,Rabi,66.59,0.8,-1,0.47667277521858137,0
FARM-1338,Sugarcane,154.69,Drip,Sandy,Zaid,34.89,0.77,-1,0.7645286135891367,1
FARM-1339,Cotton,94.45,Flood,Sandy,Zaid,6.69,0.84,-1,0.6742003354428616,1
FARM-1340,Sugarcane,423.64,Rain-fed,Silty,Zaid,88.84,0.69,36,0.6807090177179504,1
FARM-1341,Sugarcane,720.8,Drip,Sandy,Zaid,167.04,0.66,-1,0.3995638337779314,0
FARM-1342,Barley,1309.0,Drip,Sandy,Rabi,69.66,0.53,47,0.3636149415345283,0
FARM-1343,Sugarcane,1104.4,Flood,Clay,Rabi,116.88,0.21,-1,0.36353248818058126,0
FARM-1344,Tomato,1126.92,Manual,Loamy,Kharif,197.54,0.86,12,0.5709040666699392,0
FARM-1345,Rice,666.97,Sprinkler,Sandy,Zaid,55.36,0.58,-1,0.2810731413532833,0
FARM-1346,Rice,551.61,Sprinkler,Clay,Rabi,22.69,0.83,-1,0.46515474388032363,0
FARM-1347,Cotton,588.01,Flood,Clay,Kharif,62.37,0.63,28,0.6041868182195455,0
FARM-1348,Tomato,1482.09,Sprinkler,Loamy,Rabi,168.95,0.84,25,0.7188887188720583,1
FARM-1349,Rice,108.16,Drip,Clay,Kharif,10.32,0.59,-1,0.3754707405948607,0
FARM-1350,Soybean,1307.2,Sprinkler,Clay,Rabi,48.36,0.77,1,1.0,1
FARM-1351,Wheat,889.08,Manual,Loamy,Kharif,132.95,0.67,-1,0.4262210550920935,0
FARM-1352,Rice,685.99,Sprinkler,Silty,Zaid,43.22,0.62,24,0.5082013229553475,0
FARM-1353,Barley,1101.62,Rain-fed,Sandy,Rabi,102.94,0.58,-1,0.4570972810751708,0
FARM-1354,Cotton,755.67,Sprinkler,Clay,Kharif,109.32,0.51,-1,0.6312630250663058,0
FARM-1355,Rice,1316.46,Drip,Clay,Kharif,95.38,0.68,-1,0.3805357191898787,0
FARM-1356,Cotton,1356.02,Manual,Sandy,Zaid,127.04,0.77,-1,0.602418199150893,0
FARM-1357,Soybean,661.5,Drip,Loamy,Kharif,29.32,0.91,30,0.5883321085605291,0
FARM-1358,Maize,451.4,Flood,Silty,Kharif,109.96,0.56,-1,0.44004063921697834,0
FARM-1359,Soybean,908.91,Drip,Sandy,Zaid,27.22,0.47,-1,0.4477826125027131,0
FARM-1360,Tomato,1372.93,Drip,Silty,Zaid,181.76,0.37,-1,0.5059030752591948,0
FARM-1361,Rice,355.46,Flood,Clay,Kharif,20.68,0.48,-1,0.180851151463506,0
FARM-1362,Sugarcane,953.3,Drip,Sandy,Kharif,159.21,0.67,-1,0.6251381841603441,0
FARM-1363,Soybean,965.76,Flood,Clay,Kharif,34.62,0.65,-1,0.26355465661358846,0
FARM-1364,Maize,1113.01,Sprinkler,Peaty,Zaid,203.38,0.73,39,0.6722651968081889,1
FARM-1365,Tomato,240.77,Drip,Sandy,Kharif,43.06,0.5,-1,0.47505014968221043,0
FARM-1366,Maize,1087.95,Drip,Loamy,Zaid,217.64,0.74,-1,0.7610399535874439,1
FARM-1367,Potato,1368.1,Flood,Clay,Zaid,142.99,0.73,7,0.7854127057826715,1
FARM-1368,Barley,310.54,Flood,Clay,Zaid,35.55,0.54,-1,0.3507551794216393,0
FARM-1369,Cotton,394.44,Sprinkler,Sandy,Zaid,37.02,0.56,38,0.6027551377750724,0
FARM-1370,Cotton,1458.52,Sprinkler,Clay,Zaid,180.61,0.28,6,0.7920527750543929,1
FARM-1371,Cotton,312.42,Rain-fed,Sandy,Zaid,37.04,0.83,-1,0.5112868628195919,0
FARM-1372,Cotton,1288.86,Sprinkler,Clay,Zaid,168.14,0.61,-1,0.6963672901691955,1
FARM-1373,Rice,763.8,Flood,Sandy,Zaid,78.32,0.74,-1,0.39166856728401783,0
FARM-1374,Cotton,408.49,Sprinkler,Silty,Kharif,56.28,0.63,-1,0.6284674239686421,0
FARM-1375,Tomato,1312.59,Drip,Silty,Kharif,203.82,0.72,28,0.6559290856787229,1
FARM-1376,Wheat,695.69,Flood,Silty,Zaid,74.89,0.8,-1,0.5806323922008287,0
FARM-1377,Cotton,796.49,Rain-fed,Clay,Rabi,93.9,0.67,-1,0.48560485837587325,0
FARM-1378,Wheat,570.89,Flood,Clay,Zaid,74.79,0.73,-1,0.3196149781189961,0
FARM-1379,Tomato,909.78,Rain-fed,Sandy,Kharif,80.6,0.83,-1,0.5698598502090803,0
FARM-1380,Cotton,287.11,Rain-fed,Loamy,Zaid,29.12,0.71,-1,0.5622719863938703,0
FARM-1381,Rice,617.07,Rain-fed,Loamy,Zaid,49.59,0.55,27,0.36991209494575694,0
FARM-1382,Rice,1455.65,Manual,Clay,Kharif,88.6,0.48,-1,0.44379431915621115,0
FARM-1383,Potato,424.29,Flood,Clay,Kharif,25.92,0.64,-1,0.49084705618135593,0
FARM-1384,Carrot,1002.27,Flood,Clay,Rabi,69.05,0.5,-1,0.2390927338057548,0
FARM-1385,Wheat,521.53,Sprinkler,Silty,Kharif,52.73,0.76,24,0.6585071344384081,1
FARM-1386,Tomato,1171.54,Flood,Clay,Rabi,132.93,0.27,-1,0.409162000111271,0
FARM-1387,Barley,239.77,Sprinkler,Sandy,Zaid,31.66,0.55,27,0.4140794918006957,0
FARM-1388,Carrot,1456.24,Sprinkler,Clay,Zaid,93.6,0.72,-1,0.531339193240938,0
FARM-1389,Wheat,707.99,Sprinkler,Sandy,Zaid,96.53,0.7,36,0.7691892611879003,1
FARM-1390,Maize,392.27,Flood,Loamy,Zaid,45.15,0.74,-1,0.5469969504526354,0
FARM-1391,Sugarcane,156.57,Drip,Silty,Kharif,26.78,0.39,-1,0.4576306033623408,0
FARM-1392,Tomato,296.15,Flood,Silty,Kharif,48.62,0.74,-1,0.5697009800898991,0
FARM-1393,Carrot,803.67,Drip,Loamy,Zaid,52.23,0.49,-1,0.5440260230298928,0
FARM-1394,Tomato,538.65,Manual,Silty,Rabi,78.73,0.76,-1,0.47062227171926213,0
FARM-1395,Potato,1251.88,Flood,Peaty,Rabi,131.0,0.58,-1,0.3780415511405251,0
FARM-1396,Wheat,674.79,Drip,Silty,Zaid,39.98,0.56,-1,0.3293580852715249,0
FARM-1397,Sugarcane,410.64,Drip,Silty,Zaid,62.94,0.67,-1,0.7101423593391953,1
FARM-1398,Carrot,944.86,Sprinkler,Clay,Zaid,50.71,0.78,39,0.4212168721766065,0
FARM-1399,Carrot,1074.83,Sprinkler,Sandy,Zaid,88.16,0.58,-1,0.26698657972823814,0
FARM-1400,Cotton,292.21,Flood,Clay,Zaid,30.44,0.41,28,0.5498553535591705,0
FARM-1401,Potato,293.05,Drip,Clay,Kharif,51.58,0.68,-1,0.5428221311583981,0
FARM-1402,Soybean,103.17,Flood,Peaty,Zaid,4.51,0.63,-1,0.4191020472112836,0
FARM-1403,Wheat,1117.78,Flood,Loamy,Zaid,83.57,0.66,-1,0.47319260370072264,0
FARM-1404,Tomato,1012.52,Sprinkler,Silty,Rabi,103.04,0.93,-1,0.6368932105960268,0
FARM-1405,Potato,738.21,Sprinkler,Silty,Kharif,123.63,0.73,41,0.5786157955849272,0
FARM-1406,Tomato,1274.05,Flood,Silty,Rabi,224.23,0.75,-1,0.40956930764735866,0
FARM-1407,Cotton,1218.22,Drip,Peaty,Zaid,160.9,0.27,28,0.4507981534532872,0
FARM-1408,Potato,898.76,Manual,Clay,Zaid,88.55,0.85,36,0.651148222156799,1
FARM-1409,Cotton,1308.99,Flood,Clay,Kharif,188.04,0.57,-1,0.4636176520308668,0
FARM-1410,Tomato,348.47,Sprinkler,Loamy,Zaid,49.67,0.77,37,0.4547124960744453,0
FARM-1411,Maize,212.28,Drip,Clay,Zaid,29.55,0.56,-1,0.4705009532238881,0
FARM-1412,Maize,441.14,Flood,Clay,Kharif,98.18,0.38,40,0.5665984555763389,0
FARM-1413,Soybean,132.78,Drip,Loamy,Kharif,2.2,0.62,1,1.0,1
FARM-1414,Rice,820.2,Flood,Silty,Zaid,36.04,0.54,-1,0.5442284096123217,0
FARM-1415,Sugarcane,1408.08,Manual,Sandy,Kharif,199.67,0.59,33,0.6082051772621054,0
FARM-1416,Tomato,107.05,Flood,Loamy,Zaid,10.96,0.7,-1,0.4483125729287526,0
FARM-1417,Tomato,227.06,Drip,Sandy,Zaid,22.22,0.85,-1,0.5427490501466196,0
FARM-1418,Rice,705.69,Drip,Clay,Zaid,55.95,0.55,-1,0.2753584763806289,0
FARM-1419,Carrot,1404.12,Flood,Clay,Zaid,69.14,0.83,-1,0.5307745541311432,0
FARM-1420,Wheat,508.43,Drip,Silty,Zaid,35.2,0.9,-1,0.7737611629379224,1
FARM-1421,Wheat,785.49,Drip,Sandy,Rabi,63.58,0.45,21,0.4198374206554088,0
FARM-1422,Cotton,110.28,Rain-fed,Silty,Kharif,22.77,0.53,-1,0.3727958455838068,0
FARM-1423,Sugarcane,265.1,Flood,Clay,Kharif,38.65,0.74,-1,0.7166483329990285,1
FARM-1424,Cotton,1480.61,Drip,Silty,Zaid,195.83,0.69,-1,0.587805154817896,0
FARM-1425,Soybean,1449.42,Manual,Sandy,Zaid,46.81,0.8,-1,0.41349290258954885,0
FARM-1426,Sugarcane,57.16,Drip,Sandy,Zaid,13.57,0.57,5,1.0,1
FARM-1427,Potato,1430.13,Manual,Sandy,Zaid,127.27,0.78,16,0.5565278385246988,0
FARM-1428,Tomato,976.72,Flood,Silty,Zaid,138.45,0.8,39,0.48055834347410953,0
FARM-1429,Cotton,1308.48,Manual,Sandy,Rabi,222.75,0.58,-1,0.4958285683819395,0
FARM-1430,Barley,709.37,Sprinkler,Sandy,Kharif,70.7,0.84,-1,0.5223403510860493,0
FARM-1431,Carrot,797.61,Rain-fed,Peaty,Kharif,28.17,0.57,36,0.377370038190799,0
FARM-1432,Rice,758.83,Manual,Silty,Kharif,71.44,0.87,12,0.9386906774862226,1
FARM-1433,Cotton,1016.95,Drip,Loamy,Rabi,80.31,0.78,-1,0.5609757941814074,0
FARM-1434,Cotton,252.49,Manual,Sandy,Zaid,38.75,0.89,-1,0.5809274717727786,0
FARM-1435,Carrot,93.46,Flood,Loamy,Zaid,6.95,0.79,36,0.513299223352978,0
FARM-1436,Cotton,496.5,Flood,Clay,Zaid,49.42,0.49,2,1.0,1
FARM-1437,Wheat,1071.79,Flood,Sandy,Rabi,143.79,0.92,-1,0.4954572256816605,0
FARM-1438,Carrot,342.69,Flood,Peaty,Rabi,10.9,0.78,3,1.0,1
FARM-1439,Cotton,1026.48,Drip,Peaty,Zaid,193.12,0.86,-1,0.7239284640234508,1
FARM-1440,Cotton,1456.37,Flood,Loamy,Rabi,195.8,0.45,-1,0.5654806433094622,0
FARM-1441,Maize,186.16,Flood,Sandy,Rabi,24.05,0.46,-1,0.5657628100122851,0
FARM-1442,Tomato,1025.27,Rain-fed,Clay,Zaid,77.98,0.77,-1,0.7898391220254501,1
FARM-1443,Tomato,693.44,Rain-fed,Peaty,Zaid,120.93,0.33,-1,0.5700651046695621,0
FARM-1444,Wheat,1308.81,Flood,Peaty,Zaid,74.95,0.77,-1,0.3673883818940261,0
FARM-1445,Maize,306.87,Flood,Sandy,Rabi,38.62,0.57,-1,0.4188038780312426,0
FARM-1446,Maize,1054.31,Drip,Silty,Zaid,160.9,0.8,17,0.8929047781198693,1
FARM-1447,Carrot,1265.27,Drip,Sandy,Rabi,85.04,0.71,46,0.59160039425135,0
FARM-1448,Tomato,1419.69,Drip,Sandy,Zaid,178.0,0.75,-1,0.5175241015141594,0
FARM-1449,Cotton,1040.71,Flood,Clay,Kharif,91.16,0.46,-1,0.41378042082761707,0
FARM-1450,Carrot,770.9,Drip,Loamy,Zaid,36.53,0.9,38,0.4595094021478922,0
FARM-1451,Soybean,945.88,Manual,Sandy,Kharif,20.96,0.91,-1,0.30719880761562957,0
FARM-1452,Sugarcane,1309.91,Flood,Sandy,Rabi,149.55,0.63,3,1.0,1
FARM-1453,Potato,877.38,Flood,Loamy,Rabi,95.93,0.78,9,0.7538705039195425,1
FARM-1454,Cotton,94.06,Sprinkler,Peaty,Rabi,15.86,0.46,-1,0.49418007570109795,0
FARM-1455,Sugarcane,1399.88,Drip,Clay,Zaid,160.7,0.71,26,0.5103083146995901,0
FARM-1456,Cotton,1049.81,Flood,Sandy,Kharif,127.38,0.67,18,0.7745428930412452,1
FARM-1457,Sugarcane,1030.94,Sprinkler,Sandy,Zaid,146.96,0.42,-1,0.5467778227889649,0
FARM-1458,Cotton,362.73,Flood,Sandy,Zaid,74.98,0.64,-1,0.4015310799750047,0
FARM-1459,Cotton,1005.38,Flood,Sandy,Kharif,204.75,0.69,-1,0.5819028821483714,0
FARM-1460,Cotton,621.1,Manual,Clay,Zaid,113.05,0.54,-1,0.4964743359527588,0
FARM-1461,Rice,994.29,Manual,Clay,Kharif,58.99,0.65,-1,0.3749845080157272,0
FARM-1462,Carrot,204.56,Sprinkler,Sandy,Rabi,6.97,0.86,-1,0.17370726780984547,0
FARM-1463,Soybean,1003.88,Sprinkler,Sandy,Zaid,24.6,0.82,-1,0.32196707382486267,0
FARM-1464,Maize,1499.15,Sprinkler,Clay,Kharif,206.92,0.59,34,0.6948145431490409,1
FARM-1465,Tomato,119.91,Drip,Sandy,Zaid,14.47,0.65,-1,0.44514350494428745,0
FARM-1466,Tomato,1466.9,Flood,Loamy,Zaid,224.92,0.75,-1,0.517830496324104,0
FARM-1467,Potato,640.02,Drip,Sandy,Zaid,104.32,0.81,-1,0.7136756785990475,1
FARM-1468,Barley,1312.59,Flood,Silty,Rabi,158.87,0.77,-1,0.4802491988853715,0
FARM-1469,Maize,1184.46,Flood,Clay,Rabi,183.29,0.77,-1,0.45832005191720293,0
FARM-1470,Cotton,872.17,Drip,Clay,Rabi,144.97,0.57,-1,0.489514963934947,0
FARM-1471,Maize,1120.75,Manual,Silty,Rabi,163.98,0.84,-1,0.705939408956143,1
FARM-1472,Cotton,1323.85,Manual,Sandy,Zaid,103.96,0.93,19,0.6894645343038094,1
FARM-1473,Potato,636.0,Sprinkler,Sandy,Zaid,91.7,0.76,47,0.6674748595741009,1
FARM-1474,Soybean,524.2,Flood,Silty,Kharif,8.02,0.67,-1,0.18177710274789527,0
FARM-1475,Maize,1018.01,Rain-fed,Silty,Kharif,166.6,0.4,-1,0.5062258900942422,0
FARM-1476,Cotton,1221.38,Drip,Peaty,Zaid,141.82,0.7,-1,0.4126241098656601,0
FARM-1477,Soybean,1155.31,Rain-fed,Sandy,Zaid,41.36,0.36,3,0.7744312282542465,1
FARM-1478,Maize,1206.83,Drip,Loamy,Kharif,275.07,0.69,-1,0.706812986049528,1
FARM-1479,Soybean,681.6,Rain-fed,Loamy,Kharif,16.44,0.41,33,0.2784202425726681,0
FARM-1480,Rice,1235.86,Drip,Clay,Zaid,129.68,0.84,-1,0.4739946492628306,0
FARM-1481,Rice,224.3,Rain-fed,Sandy,Kharif,14.25,0.44,-1,0.3387770078535316,0
FARM-1482,Sugarcane,839.51,Manual,Clay,Kharif,127.11,0.7,-1,0.607776746897253,0
FARM-1483,Rice,58.35,Drip,Peaty,Kharif,5.73,0.75,40,0.5879117774365307,0
FARM-1484,Soybean,520.65,Flood,Sandy,Zaid,18.63,0.38,15,0.4319815723105016,0
FARM-1485,Potato,581.37,Manual,Sandy,Kharif,103.77,0.63,-1,0.6341695883284849,0
FARM-1486,Cotton,624.45,Flood,Loamy,Zaid,63.4,0.92,-1,0.6647616985529379,1
FARM-1487,Tomato,1058.43,Rain-fed,Clay,Zaid,147.63,0.44,-1,0.24992755048899828,0
FARM-1488,Maize,613.41,Sprinkler,Clay,Rabi,122.52,0.55,-1,0.6657948599624344,1
FARM-1489,Potato,700.61,Flood,Loamy,Kharif,118.97,0.69,1,1.0,1
FARM-1490,Sugarcane,394.44,Drip,Clay,Zaid,41.42,0.63,20,0.9324552160041968,1
FARM-1491,Rice,591.22,Drip,Sandy,Kharif,59.21,0.89,5,1.0,1
FARM-1492,Barley,379.54,Rain-fed,Silty,Kharif,36.49,0.8,46,0.502033988761176,0
FARM-1493,Barley,156.13,Flood,Silty,Rabi,10.89,0.73,-1,0.4907184027488584,0
FARM-1494,Sugarcane,925.0,Flood,Sandy,Kharif,144.22,0.35,28,0.5156959460356295,0
FARM-1495,Tomato,1018.91,Flood,Clay,Kharif,101.95,0.68,11,0.6713473074896839,1
FARM-1496,Soybean,948.26,Sprinkler,Silty,Kharif,30.7,0.79,-1,0.36465146091633704,0
FARM-1497,Cotton,722.07,Rain-fed,Silty,Zaid,140.41,0.68,6,1.0,1
FARM-1498,Maize,600.69,Manual,Clay,Zaid,115.62,0.54,-1,0.41708287154886703,0
FARM-1499,Maize,1301.83,Flood,Silty,Zaid,265.2,0.68,14,0.6917454367610479,1
FARM-1500,Rice,802.67,Rain-fed,Loamy,Kharif,65.42,0.68,-1,0.553949302256663,0
FARM-1501,Soybean,744.81,Rain-fed,Silty,Kharif,12.32,0.5,-1,0.4053668174073952,0
FARM-1502,Tomato,87.18,Sprinkler,Peaty,Zaid,7.67,0.8,-1,0.4940504291682383,0
FARM-1503,Wheat,544.81,Manual,Clay,Zaid,54.05,0.53,-1,0.5770748344305218,0
FARM-1504,Rice,601.28,Drip,Silty,Kharif,38.97,0.68,-1,0.5295882083307752,0
FARM-1505,Barley,628.29,Drip,Sandy,Zaid,38.55,0.53,-1,0.36522388639544084,0
FARM-1506,Potato,891.25,Rain-fed,Peaty,Kharif,107.39,0.86,-1,0.3404734428008735,0
FARM-1507,Wheat,823.72,Flood,Loamy,Zaid,67.78,0.53,-1,0.2451984856332294,0
FARM-1508,Maize,931.46,Rain-fed,Silty,Kharif,127.11,0.47,28,0.5649409519286909,0
FARM-1509,Carrot,1159.08,Manual,Clay,Rabi,67.04,0.59,36,0.49685856306084764,0
FARM-1510,Rice,1228.83,Drip,Loamy,Zaid,62.26,0.54,-1,0.4523100024547915,0
FARM-1511,Sugarcane,1091.28,Manual,Clay,Kharif,249.29,0.86,9,0.8573550808093132,1
FARM-1512,Potato,1435.51,Flood,Peaty,Zaid,235.6,0.55,-1,0.4368725734637424,0
FARM-1513,Potato,76.44,Flood,Silty,Kharif,11.08,0.91,8,0.8674185316724782,1
FARM-1514,Cotton,333.88,Sprinkler,Silty,Kharif,28.34,0.64,-1,0.514126198704918,0
FARM-1515,Cotton,60.97,Manual,Peaty,Zaid,10.89,0.79,-1,0.6123633763668794,0
FARM-1516,Tomato,988.84,Drip,Clay,Kharif,155.2,0.57,-1,0.46499588432518374,0
FARM-1517,Wheat,1352.14,Flood,Loamy,Rabi,171.42,0.85,-1,0.3725772850908031,0
FARM-1518,Maize,403.05,Sprinkler,Clay,Zaid,44.54,0.75,4,1.0,1
FARM-1519,Barley,1394.2,Sprinkler,Clay,Zaid,143.54,0.55,22,0.5020880427824662,0
FARM-1520,Soybean,137.39,Sprinkler,Clay,Rabi,5.5,0.89,-1,0.5149799345927512,0
FARM-1521,Tomato,1404.93,Drip,Loamy,Kharif,181.63,0.59,-1,0.3928693868359715,0
FARM-1522,Maize,559.85,Drip,Clay,Rabi,115.53,0.63,24,0.7283905351344905,1
FARM-1523,Wheat,197.06,Flood,Clay,Kharif,18.89,0.76,12,0.7448993842475451,1
FARM-1524,Wheat,754.51,Rain-fed,Clay,Rabi,77.62,0.58,-1,0.4171652821192179,0
FARM-1525,Sugarcane,422.33,Drip,Clay,Zaid,36.11,0.36,-1,0.28852021146287554,0
FARM-1526,Sugarcane,463.07,Drip,Peaty,Kharif,84.39,0.9,-1,0.7810069020593614,1
FARM-1527,Barley,495.57,Manual,Silty,Rabi,25.93,0.53,-1,0.46671412320266037,0
FARM-1528,Cotton,1214.39,Drip,Peaty,Kharif,158.97,0.44,-1,0.4788773380024682,0
FARM-1529,Potato,831.78,Manual,Loamy,Zaid,79.12,0.78,-1,0.5560330400889144,0
FARM-1530,Wheat,501.4,Sprinkler,Clay,Zaid,52.42,0.69,32,0.3705847827721096,0
FARM-1531,Maize,934.98,Rain-fed,Silty,Zaid,106.6,0.67,-1,0.7054656635890076,1
